Feature,MeanAbsSHAP
Exterior2nd_AsphShn,0.0
Exterior2nd_Stone,0.0
BsmtQual_Fa,0.0
Foundation_Wood,0.0
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_CBlock,0.0
Foundation_BrkTil,0.0
ExterCond_Po,0.0
ExterCond_Gd,0.0
Neighborhood_NAmes,0.0
Neighborhood_Mitchel,0.0
Neighborhood_MeadowV,0.0
ExterQual_Fa,0.0
MasVnrType_None,0.0
ExterCond_Ex,0.0
Neighborhood_NWAmes,0.0
ExterCond_Fa,0.0
Neighborhood_Blueste,0.0
Neighborhood_BrDale,0.0
Neighborhood_CollgCr,0.0
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,0.0
BsmtFinType2_ALQ,0.0
BsmtFinType1_Unf,0.0
Neighborhood_Blmngtn,0.0
BsmtExposure_None,0.0
BsmtExposure_Mn,0.0
BsmtCond_TA,0.0
BsmtCond_Po,0.0
BsmtCond_None,0.0
HeatingQC_Po,0.0
BsmtFinType1_None,0.0
BsmtFinType1_LwQ,0.0
HeatingQC_Fa,0.0
HeatingQC_Gd,0.0
Heating_Wall,0.0
Heating_OthW,0.0
Heating_Floor,0.0
BsmtFinType2_Unf,0.0
Heating_Grav,0.0
Heating_GasW,0.0
BsmtFinType2_None,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_LwQ,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Other,0.0
BsmtCond_Gd,0.0
BsmtQual_None,0.0
Neighborhood_NPkVill,0.0
Functional_Min1,0.0
Functional_Maj2,0.0
BsmtFinType2_BLQ,0.0
Functional_Min2,0.0
BsmtFinType2_GLQ,0.0
CentralAir_Y,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
LotConfig_Inside,0.0
LotConfig_FR3,0.0
LotConfig_Corner,0.0
LotConfig_FR2,0.0
Utilities_NoSeWa,0.0
Utilities_AllPub,0.0
HeatingQC_TA,0.0
Electrical_Mix,0.0
LotShape_IR3,0.0
LandContour_Bnk,0.0
LotShape_IR2,0.0
LotShape_IR1,0.0
GarageType_Detchd,0.0
GarageType_CarPort,0.0
Alley_Pave,0.0
GarageType_None,0.0
GarageType_2Types,0.0
GarageType_Basment,0.0
FireplaceQu_Fa,0.0
FireplaceQu_Po,0.0
FireplaceQu_Ex,0.0
Functional_Sev,0.0
Alley_None,0.0
Alley_Grvl,0.0
Street_Pave,0.0
Street_Grvl,0.0
MSZoning_RH,0.0
GarageCond_TA,0.0
GarageCond_Po,0.0
GarageCond_None,0.0
GarageCond_Gd,0.0
GarageCond_Fa,0.0
GarageCond_Ex,0.0
GarageQual_TA,0.0
GarageQual_Po,0.0
GarageQual_None,0.0
GarageQual_Gd,0.0
GarageQual_Fa,0.0
GarageQual_Ex,0.0
GarageFinish_None,0.0
HasPorch,0.0
HasBasement,0.0
HasGarage,0.0
HasPool,0.0
MiscVal,0.0
3SsnPorch,0.0
SaleCondition_Alloca,0.0
SaleCondition_AdjLand,0.0
SaleType_Oth,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
SaleType_ConLD,0.0
SaleType_Con,0.0
SaleType_CWD,0.0
SaleType_COD,0.0
MiscFeature_TenC,0.0
